दिन	day
लाठी	lathi, stick
शब्द	word
शिकायत	complaint, f
सुना	relate, tell, recite
अंत	end
अद्भुत	remarkable
अवकाश	leisure, free time
आवाज़	voice, sound, f
कविता	poem, poetry, f
कृपा	kindness, grace, f
खेद	regret
खो	lose
चिढ़ा	irritate, tease
छोड़कर	apart from, except for
चान-बूझकर	deliberately
जी-हुज़ूरी	sycophancy, flattery
ढाई	two and a half
दौड़	run
धीमा	low, faint
पश्ता	regret, repent
परीक्षा	examination, f
पार कर	cross
पौना	three-quarters
प्रकाशक	publisher
बदमाश	villain, rogue
बदल	change
बाँट	divide, deal out
भाभी	elder brother’s wife
भोजन	food
लेना-देना	dealings, connection
विवाह	marriage
विशेष	particular
वैर	hostility
समाचार	news
सवा	one and a quarter, plus a quarter
साढ़े	plus a half
साथी	companion, friend, m
साबुन	soap
सेब	apple
होकर	via
अचीब	strange, odd
अनबन	discord, f
अभ्यास	practice
आग	fire, f
आगे	later, ahead
कहला	be called, named
फ़िस्मत	fate, f
घंटी	bell
चोट	hurt, injury, f
चोरी	theft, robbery
छाता	umbrella
जवान	young, youthful, soldier
ठंड	cold, f
डाकू	dacoit, bandit
डालना	to throw
तताक़	divorce
ताला	lock
दिल लग	feel at home
देन	contribution, gift, f
नज़र	glance, look, f
पक्का	ripe
प्यास	thirst, f
क़ुरसत	leisure, free time, f
बदसूरत	ugly
बरबाद कर	ruin
बारिश	rain, f
भूख	hunger, f
भौंक	bark
मर	die
मूर्ख	fool
रोज़	every day, daily
लड़	to fight, quarrel
लिफ़ाफ़ा	envelope
वाक्य	sentence
विचार	thought, idea, opinion
विषय	subject
शादी	marriage, wedding
शिष्य	disciple
